"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 17 17:29:49 GMT 2024","Wed Jul 17 17:29:50 GMT 2024","1388","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Wed Jul 17 17:29:53 GMT 2024","Wed Jul 17 17:29:54 GMT 2024","1065","test","test_hootel","TestHootel","","","test_hotel_list",""
